height,weight,size,color
154.94,64.41011654,L,yellow
162.56,54.4310844,S,red
172.72,66.67807839000001,S,red
167.64,79.37866475,XL,purple
160.02,88.45051215000001,XL,purple
170.18,81.6466266,L,yellow
165.1,74.84274105,L,yellow
167.64,76.20351816,S,red
149.86,53.523899660000005,XL,purple
160.02,68.0388555,XL,purple
175.26,96.16158244,L,yellow
167.64,68.0388555,L,yellow
165.1,76.65711053,L,yellow
167.64,71.66759446,S,red
162.56,72.57477920000001,L,yellow
167.64,65.77089365,L,yellow
165.1,62.142154690000005,S,red
170.18,58.9670081,L,yellow
167.64,72.57477920000001,S,red
162.56,58.9670081,L,yellow
152.4,78.01788764,L,yellow
167.64,74.84274105,XL,purple
162.56,49.895160700000005,S,red
167.64,68.0388555,L,yellow
165.1,68.0388555,XL,purple
160.02,72.12118683,L,yellow
142.24,48.53438359,L,yellow
162.56,69.85322498000001,L,yellow
170.18,72.57477920000001,L,yellow
162.56,62.142154690000005,L,yellow
160.02,65.77089365,L,yellow
167.64,70.30681735,S,red
175.26,70.30681735,XL,purple
167.64,83.91458845000001,L,yellow
167.64,90.718474,XL,purple
165.1,60.78137758,XL,purple
170.18,57.60623099,L,yellow
154.94,54.4310844,L,yellow
162.56,75.29633342000001,XL,purple
160.02,79.37866475,L,yellow
165.1,81.6466266,XS,blue
170.18,70.30681735,L,yellow
165.1,74.38914868,XL,purple
162.56,73.93555631000001,L,yellow
160.02,79.37866475,S,red
167.64,77.1107029,L,yellow
165.1,70.30681735,L,yellow
162.56,69.39963261,L,yellow
172.72,65.77089365,S,red
160.02,46.72001411,L,yellow
170.18,68.0388555,L,yellow
203.2,122.4699399,L,yellow
172.72,88.90410452,L,yellow
162.56,74.84274105,L,yellow
157.48,68.0388555,S,red
154.94,60.32778521,L,yellow
165.1,58.05982336,S,red
160.02,69.39963261,L,yellow
165.1,72.57477920000001,L,yellow
162.56,58.9670081,L,yellow
177.8,70.76040972,XL,purple
167.64,83.91458845000001,L,yellow
165.1,61.23496995,XL,purple
162.56,82.55381134000001,M,green
167.64,65.77089365,XL,purple
167.64,70.30681735,S,red
160.02,65.77089365,XL,purple
160.02,57.152638620000005,L,yellow
167.64,81.6466266,L,yellow
162.56,58.9670081,S,red
154.94,63.502931800000006,L,yellow
157.48,55.79186151,S,red
162.56,59.874192840000006,XL,purple
170.18,65.77089365,S,red
154.94,68.0388555,L,yellow
175.26,72.57477920000001,L,yellow
157.48,68.0388555,L,yellow
167.64,68.0388555,S,red
160.02,72.57477920000001,L,yellow
167.64,68.0388555,L,yellow
172.72,84.82177319,S,red
185.42,83.46099608,L,yellow
165.1,77.1107029,S,red
170.18,61.68856232,L,yellow
170.18,78.92507238,XL,purple
154.94,61.68856232,S,red
160.02,67.13167076,XL,purple
165.1,69.39963261,L,yellow
167.64,67.13167076,S,red
154.94,61.23496995,L,yellow
160.02,77.1107029,L,yellow
165.1,58.513415730000006,XL,purple
165.1,70.76040972,M,green
167.64,56.69904625,XL,purple
175.26,83.91458845000001,L,yellow
152.4,55.33826914,L,yellow
152.4,62.142154690000005,L,yellow
165.1,72.57477920000001,S,red
162.56,66.22448602,XL,purple
157.48,49.895160700000005,L,yellow
165.1,63.502931800000006,S,red
167.64,66.67807839000001,L,yellow
162.56,57.60623099,L,yellow
160.02,63.95652417,S,red
172.72,61.68856232,S,red
149.86,47.17360648,S,red
152.4,58.05982336,S,red
160.02,74.84274105,S,red
165.1,67.58526313,XL,purple
160.02,70.76040972,S,red
175.26,77.1107029,L,yellow
157.48,53.07030729,XL,purple
162.56,61.23496995,L,yellow
162.56,63.502931800000006,XL,purple
167.64,78.01788764,S,red
162.56,59.42060047,L,yellow
157.48,73.48196394,M,green
160.02,65.77089365,S,red
165.1,67.58526313,L,yellow
162.56,59.874192840000006,S,red
177.8,71.66759446,XL,purple
152.4,53.523899660000005,M,green
175.26,74.84274105,S,red
165.1,59.874192840000006,L,yellow
149.86,49.895160700000005,M,green
157.48,63.502931800000006,L,yellow
165.1,66.67807839000001,S,red
167.64,62.142154690000005,L,yellow
152.4,58.9670081,L,yellow
162.56,61.23496995,L,yellow
160.02,61.23496995,L,yellow
167.64,77.56429527,S,red
154.94,73.93555631000001,XL,purple
165.1,62.142154690000005,XL,purple
152.4,66.67807839000001,L,yellow
160.02,52.16312255,S,red
162.56,63.502931800000006,L,yellow
165.1,69.39963261,L,yellow
172.72,71.66759446,XL,purple
167.64,65.77089365,S,red
165.1,81.6466266,L,yellow
162.56,62.59574706,L,yellow
157.48,60.32778521,XL,purple
160.02,56.69904625,XL,purple
167.64,50.34875307,S,red
160.02,61.68856232,M,green
170.18,81.6466266,L,yellow
162.56,54.4310844,XL,purple
157.48,63.95652417,XL,purple
157.48,53.97749203,L,yellow
165.1,57.152638620000005,S,red
160.02,63.502931800000006,S,red
162.56,63.502931800000006,L,yellow
157.48,59.874192840000006,XL,purple
157.48,56.69904625,L,yellow
162.56,58.9670081,XL,purple
167.64,81.19303423000001,L,yellow
170.18,63.502931800000006,XL,purple
175.26,63.502931800000006,L,yellow
162.56,54.4310844,L,yellow
170.18,79.37866475,S,red
157.48,67.13167076,XL,purple
162.56,66.67807839000001,XL,purple
165.1,56.69904625,S,red
165.1,73.48196394,S,red
167.64,52.61671492,L,yellow
167.64,76.65711053,L,yellow
157.48,58.9670081,S,red
162.56,72.12118683,M,green
162.56,63.502931800000006,S,red
167.64,78.01788764,S,red
162.56,73.02837157,XL,purple
157.48,57.152638620000005,S,red
165.1,65.77089365,S,red
165.1,71.21400209000001,L,yellow
162.56,67.58526313,XL,purple
175.26,95.2543977,L,yellow
165.1,71.21400209000001,S,red
152.4,70.30681735,S,red
160.02,65.31730128000001,L,yellow
152.4,52.16312255,XL,purple
160.02,55.33826914,L,yellow
177.8,81.6466266,L,yellow
172.72,72.12118683,L,yellow
165.1,65.77089365,XS,blue
152.4,63.502931800000006,L,yellow
167.64,65.77089365,L,yellow
165.1,65.77089365,L,yellow
170.18,76.65711053,L,yellow
162.56,71.21400209000001,L,yellow
157.48,61.23496995,L,yellow
162.56,58.05982336,L,yellow
162.56,54.4310844,S,red
162.56,68.49244787,L,yellow
162.56,68.0388555,S,red
154.94,57.60623099,L,yellow
165.1,54.884676770000006,L,yellow
170.18,71.66759446,L,yellow
170.18,63.95652417,XL,purple
170.18,83.91458845000001,S,red
167.64,65.77089365,S,red
162.56,56.24545388,L,yellow
162.56,56.69904625,L,yellow
162.56,62.59574706,S,red
149.86,62.142154690000005,S,red
157.48,47.62719885,S,red
160.02,62.142154690000005,L,yellow
170.18,63.95652417,L,yellow
162.56,81.6466266,L,yellow
172.72,70.76040972,S,red
157.48,54.4310844,L,yellow
152.4,47.62719885,L,yellow
162.56,65.77089365,L,yellow
167.64,72.57477920000001,XS,blue
162.56,58.9670081,XS,blue
172.72,79.37866475,M,green
172.72,75.74992579,L,yellow
167.64,46.72001411,L,yellow
160.02,53.97749203,M,green
175.26,76.20351816,L,yellow
157.48,66.67807839000001,XL,purple
162.56,67.58526313,L,yellow
157.48,68.0388555,S,red
167.64,58.05982336,XL,purple
165.1,74.84274105,L,yellow
165.1,67.13167076,L,yellow
182.88,77.56429527,XL,purple
167.64,78.92507238,L,yellow
167.64,60.32778521,S,red
154.94,74.38914868,XL,purple
167.64,72.57477920000001,XL,purple
162.56,64.86370891,L,yellow
172.72,67.13167076,L,yellow
165.1,72.57477920000001,XL,purple
170.18,56.24545388,L,yellow
157.48,58.9670081,M,green
162.56,65.77089365,S,red
152.4,56.24545388,XL,purple
167.64,54.4310844,XL,purple
154.94,47.62719885,L,yellow
165.1,54.4310844,L,yellow
170.18,73.93555631000001,L,yellow
149.86,63.502931800000006,L,yellow
154.94,61.23496995,S,red
157.48,62.142154690000005,S,red
160.02,56.69904625,L,yellow
157.48,77.1107029,L,yellow
160.02,65.77089365,L,yellow
157.48,69.39963261,S,red
157.48,63.95652417,L,yellow
154.94,52.61671492,S,red
160.02,53.523899660000005,S,red
154.94,59.42060047,S,red
160.02,65.77089365,M,green
162.56,72.12118683,S,red
170.18,63.502931800000006,L,yellow
160.02,64.41011654,XL,purple
162.56,66.67807839000001,L,yellow
167.64,75.74992579,L,yellow
165.1,54.4310844,L,yellow
160.02,69.85322498000001,XL,purple
160.02,62.59574706,XL,purple
162.56,65.77089365,L,yellow
160.02,70.76040972,L,yellow
160.02,68.0388555,L,yellow
172.72,83.00740371,XL,purple
162.56,64.86370891,L,yellow
165.1,56.69904625,XL,purple
160.02,73.48196394,S,red
162.56,73.02837157,L,yellow
175.26,56.69904625,S,red
203.2,72.57477920000001,L,yellow
180.34,89.81128926000001,XL,purple
170.18,72.57477920000001,L,yellow
165.1,61.23496995,S,red
160.02,56.69904625,L,yellow
160.02,58.9670081,XS,blue
162.56,64.86370891,XL,purple
162.56,81.6466266,L,yellow
172.72,75.29633342000001,L,yellow
165.1,68.0388555,S,red
152.4,57.60623099,L,yellow
167.64,58.9670081,L,yellow
162.56,54.4310844,S,red
167.64,81.6466266,S,red
165.1,58.513415730000006,L,yellow
170.18,63.502931800000006,XL,purple
167.64,69.39963261,L,yellow
165.1,64.86370891,L,yellow
165.1,61.23496995,L,yellow
162.56,74.84274105,L,yellow
152.4,56.69904625,L,yellow
162.56,54.4310844,XL,purple
167.64,58.9670081,S,red
162.56,89.81128926000001,S,red
149.86,68.0388555,L,yellow
162.56,61.23496995,XL,purple
160.02,49.895160700000005,L,yellow
170.18,80.73944186,L,yellow
157.48,57.60623099,L,yellow
162.56,72.57477920000001,L,yellow
167.64,58.9670081,S,red
160.02,68.0388555,M,green
160.02,81.6466266,XL,purple
162.56,58.9670081,L,yellow
175.26,92.98643585,L,yellow
157.48,83.91458845000001,XL,purple
157.48,83.00740371,L,yellow
