,height,weight,size,color
0,180.34,81.6466266,L,yellow
1,172.72,72.57477920000001,M,green
2,172.72,92.98643585,M,green
3,167.64000000000001,79.37866475,XL,purple
4,195.58,96.61517481,XL,purple
5,175.26,79.37866475,M,green
6,182.88,113.3980925,M,green
7,187.96,95.70799007000001,L,yellow
8,177.8,99.79032140000001,XL,purple
9,182.88,72.57477920000001,L,yellow
10,177.8,88.45051215000001,M,green
11,175.26,70.30681735,M,green
12,182.88,104.32624510000001,M,green
13,190.5,113.3980925,XL,purple
14,172.72,90.718474,M,green
15,175.26,88.90410452,XL,purple
16,170.18,77.1107029,S,red
17,177.8,97.52235955,L,yellow
18,177.8,75.74992579,M,green
19,177.8,91.62565874,L,yellow
20,180.34,74.84274105,XS,blue
21,167.64000000000001,73.93555631000001,XL,purple
22,167.64000000000001,79.37866475,S,red
23,200.66,97.52235955,L,yellow
24,177.8,96.16158244,M,green
25,162.56,61.23496995,S,red
26,185.42000000000002,104.32624510000001,M,green
27,180.34,79.83225712000001,XL,purple
28,175.26,80.73944186,XS,blue
29,185.42000000000002,90.718474,M,green
30,190.5,76.20351816,XL,purple
31,180.34,92.98643585,XS,blue
32,165.1,68.0388555,M,green
33,187.96,89.81128926000001,XL,purple
34,180.34,68.49244787,XL,purple
35,180.34,87.99691978,L,yellow
36,172.72,68.0388555,L,yellow
37,187.96,124.73790175,M,green
38,172.72,77.1107029,XS,blue
39,175.26,87.54332741,XL,purple
40,177.8,61.23496995,XS,blue
41,170.18,85.27536556,L,yellow
42,185.42000000000002,79.37866475,S,red
43,172.72,86.1825503,L,yellow
44,177.8,97.52235955,M,green
45,167.64000000000001,65.77089365,L,yellow
46,175.26,70.30681735,XS,blue
47,175.26,83.91458845000001,M,green
48,190.5,100.69750614,M,green
49,167.64000000000001,86.1825503,XS,blue
50,180.34,108.8621688,XL,purple
51,185.42000000000002,83.91458845000001,L,yellow
52,165.1,73.02837157,M,green
53,177.8,97.52235955,XL,purple
54,170.18,78.47148001000001,XL,purple
55,182.88,140.6136347,L,yellow
56,180.34,66.67807839000001,M,green
57,177.8,86.1825503,XL,purple
58,172.72,99.79032140000001,S,red
59,190.5,97.52235955,L,yellow
60,162.56,57.152638620000005,L,yellow
61,175.26,72.57477920000001,XS,blue
62,185.42000000000002,72.57477920000001,M,green
63,172.72,78.92507238,L,yellow
64,175.26,99.79032140000001,L,yellow
65,170.18,66.22448602,S,red
66,167.64000000000001,81.6466266,XS,blue
67,187.96,106.59420695,XS,blue
68,177.8,68.0388555,M,green
69,162.56,71.66759446,M,green
70,175.26,74.84274105,XL,purple
71,172.72,63.502931800000006,M,green
72,162.56,74.38914868,XL,purple
73,175.26,74.84274105,L,yellow
74,185.42000000000002,102.96546799000001,M,green
75,175.26,92.98643585,L,yellow
76,167.64000000000001,92.98643585,M,green
77,175.26,97.06876718000001,XS,blue
78,185.42000000000002,88.45051215000001,L,yellow
79,182.88,97.97595192,XL,purple
80,180.34,86.1825503,L,yellow
81,177.8,73.93555631000001,XL,purple
82,182.88,90.718474,XL,purple
83,180.34,77.1107029,L,yellow
84,172.72,79.37866475,XL,purple
85,157.48,62.59574706,XL,purple
86,172.72,76.65711053,L,yellow
87,182.88,88.45051215000001,L,yellow
88,177.8,64.86370891,L,yellow
89,170.18,72.57477920000001,L,yellow
90,172.72,86.1825503,M,green
91,172.72,86.1825503,L,yellow
92,182.88,75.29633342000001,L,yellow
93,185.42000000000002,68.0388555,M,green
94,190.5,74.84274105,M,green
95,182.88,77.1107029,L,yellow
96,167.64000000000001,71.66759446,M,green
97,170.18,78.92507238,L,yellow
98,187.96,74.84274105,L,yellow
99,180.34,97.52235955,M,green
100,182.88,86.1825503,L,yellow
101,175.26,72.57477920000001,XL,purple
102,180.34,95.2543977,M,green
103,182.88,81.6466266,M,green
104,185.42000000000002,65.31730128000001,L,yellow
105,190.5,97.52235955,L,yellow
106,175.26,86.1825503,M,green
107,175.26,89.35769689,L,yellow
108,185.42000000000002,83.00740371,M,green
109,170.18,83.91458845000001,M,green
110,185.42000000000002,97.52235955,L,yellow
111,182.88,81.6466266,XL,purple
112,170.18,84.82177319,XL,purple
113,185.42000000000002,113.3980925,L,yellow
114,180.34,99.33672903,XL,purple
115,185.42000000000002,102.05828325,L,yellow
116,170.18,78.92507238,XL,purple
117,177.8,86.1825503,XL,purple
118,187.96,142.88159655,XL,purple
119,167.64000000000001,77.1107029,L,yellow
120,165.1,67.13167076,L,yellow
121,175.26,77.1107029,L,yellow
122,172.72,70.30681735,S,red
123,190.5,113.3980925,XS,blue
124,190.5,90.718474,L,yellow
125,177.8,72.57477920000001,XL,purple
126,180.34,83.00740371,L,yellow
127,185.42000000000002,100.69750614,L,yellow
128,182.88,78.47148001000001,L,yellow
129,175.26,98.88313666,M,green
130,167.64000000000001,76.20351816,S,red
131,182.88,91.17206637000001,S,red
132,175.26,78.92507238,M,green
133,175.26,83.91458845000001,M,green
134,182.88,99.79032140000001,L,yellow
135,170.18,73.48196394,S,red
136,187.96,95.2543977,XL,purple
137,182.88,95.2543977,M,green
138,180.34,104.32624510000001,M,green
139,175.26,80.73944186,M,green
140,180.34,92.98643585,L,yellow
141,177.8,90.718474,S,red
142,190.5,104.32624510000001,XL,purple
143,167.64000000000001,88.90410452,L,yellow
144,180.34,86.63614267,L,yellow
145,190.5,117.48042383,L,yellow
146,172.72,79.37866475,L,yellow
147,180.34,88.45051215000001,M,green
148,187.96,87.54332741,XL,purple
149,193.04,80.73944186,L,yellow
150,182.88,95.2543977,L,yellow
151,182.88,107.04779932000001,L,yellow
152,182.88,77.1107029,S,red
153,175.26,92.98643585,XS,blue
154,193.04,108.8621688,XS,blue
155,182.88,88.90410452,M,green
156,177.8,107.95498406,XL,purple
157,177.8,97.06876718000001,XS,blue
